step,epoch,loss,eval_loss,grad_norm,learning_rate,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,eval_accuracy,train_loss
420,2.0489596083231336,0.0345,,0.42037078738212585,6.881678062305537e-05,,,,,,,,,
440,2.1468788249694004,0.0205,,0.18246467411518097,6.5788238722332e-05,,,,,,,,,
460,2.244798041615667,0.0236,,1.2191296815872192,6.2693883044095e-05,,,,,,,,,
480,2.342717258261934,0.0409,,0.6175838708877563,5.954661250884703e-05,,,,,,,,,
500,2.440636474908201,0.024,,0.029620438814163208,5.635954661436261e-05,,,,,,,,,
500,2.440636474908201,,0.16987210512161255,,,31.0251,23.433,2.933,,,,,0.9600115908432338,
520,2.5385556915544676,0.0301,,0.0583740696310997,5.3145970746642684e-05,,,,,,,,,
540,2.6364749082007344,0.0167,,0.10934771597385406,4.9919280799358504e-05,,,,,,,,,
560,2.734394124847001,0.0214,,0.016506200656294823,4.669292733264102e-05,,,,,,,,,
580,2.832313341493268,0.0311,,0.07947475463151932,4.3480359503991115e-05,,,,,,,,,
600,2.9302325581395348,0.0209,,0.10393521934747696,4.029496900503703e-05,,,,,,,,,
600,2.9302325581395348,,0.16072343289852142,,,31.0215,23.435,2.933,,,,,0.9629093016516952,
620,3.0244798041615666,0.0195,,0.06131140887737274,3.715003423783986e-05,,,,,,,,,
640,3.1223990208078334,0.0141,,0.10948234051465988,3.4058664963450465e-05,,,,,,,,,
660,3.2203182374541,0.0106,,0.04729689285159111,3.103374765345156e-05,,,,,,,,,
680,3.318237454100367,0.0157,,0.08323000371456146,2.808789177228934e-05,,,,,,,,,
700,3.416156670746634,0.016,,0.0907009020447731,2.5233377214318087e-05,,,,,,,,,
700,3.416156670746634,,0.17556427419185638,,,31.027,23.431,2.933,,,,,0.9597218197623877,
720,3.514075887392901,0.0159,,0.34376993775367737,2.2482103114668174e-05,,,,,,,,,
740,3.611995104039168,0.0156,,0.07071062177419662,1.9845538247321127e-05,,,,,,,,,
760,3.7099143206854346,0.0087,,0.08595164120197296,1.7334673217158974e-05,,,,,,,,,
780,3.8078335373317014,0.0123,,0.2860645651817322,1.4959974645276548e-05,,,,,,,,,
800,3.905752753977968,0.0097,,0.1662394404411316,1.273134153853714e-05,,,,,,,,,
800,3.905752753977968,,0.18383045494556427,,,30.9239,23.509,2.943,,,,,0.9600115908432338,
820,4.0,0.0107,,0.024900032207369804,1.0658064025246129e-05,,,,,,,,,
840,4.097919216646267,0.0054,,0.023012572899460793,8.748784628954348e-06,,,,,,,,,
860,4.195838433292534,0.0084,,0.13011908531188965,7.011462241822525e-06,,,,,,,,,
880,4.293757649938801,0.0046,,0.052263014018535614,5.453338947725029e-06,,,,,,,,,
900,4.391676866585067,0.0077,,0.07203993946313858,4.080909833391944e-06,,,,,,,,,
900,4.391676866585067,,0.20434916019439697,,,31.0983,23.377,2.926,,,,,0.9611706751666184,
920,4.489596083231334,0.0104,,0.09491656720638275,2.8998959134324657e-06,,,,,,,,,
940,4.587515299877601,0.0077,,0.07683533430099487,1.915220282102731e-06,,,,,,,,,
960,4.685434516523868,0.0098,,0.0065415995195508,1.1309875912301704e-06,,,,,,,,,
980,4.783353733170134,0.0099,,0.16129307448863983,5.504669398412043e-07,,,,,,,,,
1000,4.881272949816402,0.0086,,0.30394038558006287,1.760782468175015e-07,,,,,,,,,
1000,4.881272949816402,,0.20348535478115082,,,31.0869,23.386,2.927,,,,,0.9611706751666184,
1020,4.979192166462668,0.0112,,0.19995184242725372,9.382163386822962e-09,,,,,,,,,
1025,5.0,,,,,,,,8742.8098,3.737,0.117,8.573277215991398e+17,,0.1083335301570776
